repo_id,repo_name,description,stars,openrank_latest,openrank_trend,language,created_at,topics,categories
1103012935,openclaw/openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,362621,1577.67,"[null, null, null, null, null, null, null, null, null, 418.86, 1374.2, 1577.67]",TypeScript,2025-11-24,"ai,assistant,crustacean,molty,openclaw,own-your-data,personal",Speech & Voice AI|Coding Agent|Agent Framework|Multi-Agent System|Workflow Orchestration|API & Backend Service
626805178,langgenius/dify,Production-ready platform for agentic workflow development.,138848,194.27,"[685.6, 571.03, 488.1, 445.56, 397.32, 389.69, 329.9, 283.66, 281.61, 267.0, 218.36, 194.27]",TypeScript,2023-04-12,"agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,gemini,genai,gpt,gpt-4,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,workflow",Workflow Orchestration|Observability & Evaluation|Vector Database & RAG|MCP (Model Context Protocol)|Speech & Voice AI|Image & Video Generation|Tool & Integration Platform|Notebook & Development Environment|API & Backend Service
975734319,anomalyco/opencode,The open source coding agent.,147988,541.91,"[null, null, null, null, null, null, null, null, null, 674.63, 627.91, 541.91]",TypeScript,2025-04-30,,Coding Agent|Workflow Orchestration|Chat UI & Frontend
965415649,openai/codex,Lightweight coding agent that runs in your terminal,77143,478.23,"[160.28, 153.88, 116.89, 102.15, 248.64, 412.56, 383.65, 406.76, 383.28, 380.1, 456.87, 478.23]",Rust,2025-04-13,,Coding Agent|Notebook & Development Environment
968197216,google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,102179,423.31,"[null, null, 244.55, 477.46, 492.94, 467.14, 423.59, 402.83, 363.47, 371.51, 383.72, 423.31]",TypeScript,2025-04-17,"ai,ai-agents,cli,gemini,gemini-api,mcp-client,mcp-server",MCP (Model Context Protocol)|Workflow Orchestration|Observability & Evaluation|Tool & Integration Platform|Notebook & Development Environment
193215554,n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",185223,251.93,"[309.47, 325.44, 338.49, 340.73, 341.56, 351.37, 324.33, 320.38, 317.38, 310.82, 278.28, 251.93]",TypeScript,2019-06-22,"ai,apis,automation,cli,data-flow,development,integration-framework,integrations,ipaas,low-code,low-code-platform,mcp,mcp-client,mcp-server,n8n,no-code,self-hosted,typescript,workflow,workflow-automation",Workflow Orchestration|MCP (Model Context Protocol)|Agent Framework
671269505,BerriAI/litellm,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]",44368,226.08,"[328.48, 335.04, 314.1, 300.36, 308.96, 293.04, 272.62, 250.33, 247.81, 251.91, 248.99, 226.08]",Python,2023-07-27,"ai-gateway,anthropic,azure-openai,bedrock,gateway,langchain,litellm,llm,llm-gateway,llmops,mcp-gateway,openai,openai-proxy,vertex-ai",LLM Gateway & Proxy|MCP (Model Context Protocol)|LLM SDK & Library|A2A Protocol|Speech & Voice AI|Agent Framework|Coding Agent|LLM Inference|Tool & Integration Platform|Notebook & Development Environment
1061953414,anthropics/skills,Public repository for Agent Skills,122570,12.78,"[null, null, null, null, null, null, 6.09, 7.44, 8.23, 13.83, 15.08, 12.78]",Python,2025-09-22,agent-skills,MCP (Model Context Protocol)
890668799,modelcontextprotocol/servers,Model Context Protocol Servers,84345,15.29,"[137.46, 124.39, 93.5, 73.63, 56.82, 37.07, 30.47, 28.77, 18.02, 15.15, 13.41, 15.29]",TypeScript,2024-11-19,,MCP (Model Context Protocol)|LLM SDK & Library|Tool & Integration Platform|Memory & Knowledge|Browser Agent|Observability & Evaluation|Model Training & Fine-tuning|API & Backend Service|LLM Gateway & Proxy|Image & Video Generation|GraphRAG & Knowledge Graph|Search & Information Retrieval|Notebook & Development Environment|Data Processing & ETL
881458615,browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,89625,29.6,"[144.31, 135.73, 114.99, 115.16, 100.78, 98.39, 74.96, 67.54, 57.95, 46.63, 40.32, 29.6]",Python,2024-10-31,"ai-agents,ai-tools,browser-automation,browser-use,llm,playwright,python",Browser Agent|Observability & Evaluation|Coding Agent|LLM Gateway & Proxy|LLM Inference|MCP (Model Context Protocol)|Memory & Knowledge|LLM SDK & Library
824874689,cline/cline,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",60641,80.9,"[205.52, 228.22, 214.29, 224.72, 213.09, 196.57, 180.49, 172.63, 170.09, 151.76, 129.51, 80.9]",TypeScript,2024-07-06,,Coding Agent|MCP (Model Context Protocol)|Workflow Orchestration|LLM Inference|Autonomous Agent|Notebook & Development Environment|AI Infrastructure & Platform
846698999,block/goose,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",43055,89.23,"[121.09, 129.45, 142.23, 152.13, 164.14, 146.1, 144.84, 133.21, 121.39, 122.66, 123.05, 89.23]",Rust,2024-08-23,"acp,ai,ai-agents,mcp",Coding Agent|MCP (Model Context Protocol)|LLM Inference|Workflow Orchestration
937253475,anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",117108,865.19,"[135.67, 184.53, 323.47, 574.75, 612.11, 545.88, 544.92, 487.89, 637.71, 893.66, 883.35, 865.19]",Shell,2025-02-22,,Model Training & Fine-tuning|Notebook & Development Environment
701547123,open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",133533,108.58,"[296.9, 304.63, 246.8, 202.44, 214.78, 190.2, 166.03, 149.2, 121.86, 111.63, 111.46, 108.58]",Python,2023-10-06,"ai,llm,llm-ui,llm-webui,llms,mcp,ollama,ollama-webui,open-webui,openai,openapi,rag,self-hosted,ui,webui",Chat UI & Frontend|LLM Inference|Vector Database & RAG|Observability & Evaluation|Speech & Voice AI|Image & Video Generation|Deep Learning Core|Tool & Integration Platform|Coding Agent|Search & Information Retrieval|API & Backend Service|MCP (Model Context Protocol)|Browser Agent|LLM SDK & Library|AI Infrastructure & Platform
589831718,Comfy-Org/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",109733,80.81,"[null, null, null, null, null, null, null, null, null, 138.48, 111.44, 80.81]",Python,2023-01-17,"ai,comfy,comfyui,python,pytorch,stable-diffusion",Image & Video Generation|Speech & Voice AI|Workflow Orchestration|Chat UI & Frontend|Model Training & Fine-tuning|Memory & Knowledge|Deep Learning Core|API & Backend Service
643445235,lobehub/lobehub,"The ultimate space for work and life — to find, build, and collaborate with agent teammates that grow with you. We are taking agent harness to the next level — enabling multi-agent collaboration, effortless agent team design, and introducing agents as the unit of work interaction.",75513,93.7,"[null, null, null, null, null, null, null, null, null, 113.22, 98.69, 93.7]",TypeScript,2023-05-21,"agent,agent-collaboration,agent-harness,ai,chatgpt,claude,deepseek,gemini,gpt,knowledge-base,mcp,openai",MCP (Model Context Protocol)|Speech & Voice AI|Memory & Knowledge|Multi-Agent System|Agent Framework|LLM SDK & Library|Image & Video Generation|Tool & Integration Platform
